Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
1582996.City_of_Ashe,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.13,835372,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730356l/1582996._SY75_.jpg,young-adult
29844228-thirteen-reasons-why,Thirteen Reasons Why (Hardcover),Jay Asher,3.88,852768,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555345043l/29844228._SY75_.jpg,young-adult
32075671-the-hate-u-give,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,4.5,655874,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476284759l/32075671._SY75_.jpg,young-adult
16068905-fangirl,Fangirl (Kindle Edition),Rainbow Rowell,4.0,659702,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270l/16068905._SX50_.jpg,young-adult
9460487-miss-peregrine-s-home-for-peculiar-children,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.91,1097017,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623449170l/9460487._SY75_.jpg,young-adult
10194157-shadow-and-bone,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.97,622218,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339533695l/10194157._SX50_.jpg,young-adult
3777732-city-of-gla,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.29,875444,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369452339l/3777732._SY75_.jpg,young-adult
10507293-the-selection,"The Selection (The Selection, #1)",Kiera Cass,4.11,1138062,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400l/10507293._SY75_.jpg,young-adult
23437156-six-of-cr,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.47,562708,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628438817l/23437156._SX50_.jpg,young-adult
16143347-we-were-liar,We Were Liars (Kindle Edition),E. Lockhart,3.79,702904,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402749479l/16143347._SY75_.jpg,young-adult
4374400-if-i-stay,If I Stay (Hardcover),Gayle Forman,3.93,778060,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630573973l/4374400._SY75_.jpg,young-adult
7896527-throne-of-gla,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,765551,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495278054l/7896527._SY75_.jpg,young-adult
39280444-spea,Speak (Hardcover),Laurie Halse Anderson,4.03,520851,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529044298l/39280444._SY75_.jpg,young-adult
7171637-clockwork-angel,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.3,755463,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454962884l/7171637._SY75_.jpg,young-adult
7735333-matched,"Matched (Matched, #1)",Ally Condie,3.64,713191,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367706191l/7735333._SY75_.jpg,young-adult
119322.The_Golden_Compa,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.0,1384709,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203l/119322._SX50_.jpg,young-adult
24770.Uglie,"Uglies (Uglies, #1)",Scott Westerfeld,3.85,607521,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443904172l/24770._SX50_.jpg,young-adult
17675462-the-raven-boy,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.03,319942,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573508485l/17675462._SY75_.jpg,young-adult
22328546-red-queen,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.03,725018,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449778912l/22328546._SY75_.jpg,young-adult
13206760-scarlet,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.25,358153,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470056982l/13206760._SY75_.jpg,young-adult
8490112-daughter-of-smoke-bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.98,352286,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461353773l/8490112._SY75_.jpg,young-adult
3236307-graceling,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06,428261,2008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331548394l/3236307._SY75_.jpg,young-adult
231804.The_Outsider,The Outsiders (Mass Market Paperback),S.E. Hinton,4.1,1065418,1967,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426l/231804._SY75_.jpg,young-adult
12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.34,364169,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328320260l/12000020._SY75_.jpg,young-adult
345627.Vampire_Academy,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,602565,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973l/345627._SY75_.jpg,young-adult
6752378-city-of-fallen-angel,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.09,542015,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369452302l/6752378._SY75_.jpg,young-adult
49750.An_Abundance_of_Katherine,An Abundance of Katherines (Hardcover),John Green,3.55,490350,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206426l/49750._SY75_.jpg,young-adult
113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92,1559339,2002,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852l/113436._SX50_.jpg,young-adult
9275658-legend,"Legend (Legend, #1)",Marie Lu,4.16,468804,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501368160l/9275658._SY75_.jpg,young-adult
19547856-simon-vs-the-homo-sapiens-agenda,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,4.23,355626,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402915678l/19547856._SY75_.jpg,young-adult
15749186-to-all-the-boys-i-ve-loved-before,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.1,632519,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372086100l/15749186._SY75_.jpg,young-adult
