Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
13223349-batman-volume-1,"Batman, Volume 1: The Court of Owls (Hardcover)",Scott Snyder,4.33,47745,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563699401l/13223349._SX50_.jpg,comics
25179.Blanket,Blankets (Paperback),Craig Thompson,4.03,106497,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460925949l/25179._SX50_.jpg,comics
29396738-monstress-vol-1,"Monstress, Vol. 1: Awakening (Paperback)",Marjorie M. Liu,3.96,52456,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471648131l/29396738._SY75_.jpg,comics
991197.The_Complete_Persepoli,"The Complete Persepolis (Persepolis, #1-4)",Marjane Satrapi,4.34,152477,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327876995l/991197._SX50_.jpg,comics
6375845-batman,Batman: Hush (Paperback),Jeph Loeb,4.28,41904,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526768090l/6375845._SY75_.jpg,comics
16992.Kingdom_Come,Kingdom Come (Paperback),Mark Waid,4.26,56695,1996,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385175050l/16992._SY75_.jpg,comics
297627.The_League_of_Extraordinary_Gentlemen_Vol_1,"The League of Extraordinary Gentlemen, Vol. 1 (Paperback)",Alan Moore,3.94,50928,2000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552295653l/297627._SY75_.jpg,comics
95431.Preacher_Volume_1,"Preacher, Volume 1: Gone to Texas (Comics)",Garth Ennis,4.16,70268,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309914494l/95431._SX50_.jpg,comics
40490167-mau,"Maus: Un survivant raconte, tome 1: Mon père saigne l'histoire (Maus, #1)",Art Spiegelman,4.33,274708,1986,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528405439l/40490167._SY75_.jpg,comics
20299683-sass-sorcery,"Sass & Sorcery (Rat Queens, #1)",Kurtis J. Wiebe,4.08,42808,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489284113l/20299683._SY75_.jpg,comics
154798.Superman,Superman: Red Son (Paperback),Mark Millar,4.17,52091,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298557533l/154798._SX50_.jpg,comics
25103.Worlds_End,"Worlds' End (The Sandman, #8)",Neil Gaiman,4.47,45347,1993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339922260l/25103._SY75_.jpg,comics
15719.Marvel_1602,Marvel 1602 (Paperback),Neil Gaiman,3.94,55261,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385102624l/15719._SY75_.jpg,comics
71252.The_Kindly_One,"The Kindly Ones (The Sandman, #9)",Neil Gaiman,4.59,44759,1995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339922887l/71252._SX50_.jpg,comics
91714.Civil_War,Civil War: A Marvel Comics Event (Paperback),Mark Millar,4.09,44558,2006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345813608l/91714._SY75_.jpg,comics
167010.Fables_Vol_2,"Fables, Vol. 2: Animal Farm (Paperback)",Bill Willingham,4.12,30355,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506893283l/167010._SY75_.jpg,comics
22554204-lumberjanes-vol-1,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Paperback)",Noelle Stevenson,3.91,67055,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435843806l/22554204._SY75_.jpg,comics
2795053-the-apocalypse-suite,"The Apocalypse Suite (The Umbrella Academy, #1)",Gerard Way,3.85,50273,2007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327877097l/2795053._SY75_.jpg,comics
