Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
1898.Into_Thin_Air,Into Thin Air: A Personal Account of the Mount Everest Disaster (Paperback),Jon Krakauer,4.19,435396,1997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631501298l/1898._SY75_.jpg,nonfiction
27161156-hillbilly-elegy,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis (Hardcover),J.D. Vance,3.9,362164,2016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463569814l/27161156._SY75_.jpg,nonfiction
20910157-yes-please,Yes Please (Hardcover),Amy Poehler,3.83,473376,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402815435l/20910157._SY75_.jpg,nonfiction
4069.Man_s_Search_for_Meaning,Man's Search for Meaning (Paperback),Viktor E. Frankl,4.35,508633,1946,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535419394l/4069._SY75_.jpg,nonfiction
20342617-just-mercy,Just Mercy: A Story of Justice and Redemption (Hardcover),Bryan Stevenson,4.58,187859,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1635827409l/20342617._SY75_.jpg,nonfiction
6792458-the-new-jim-cr,The New Jim Crow: Mass Incarceration in the Age of Colorblindness (Hardcover),Michelle Alexander,4.46,96943,2010,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328751532l/6792458._SX50_.jpg,nonfiction
17851885-i-am-malala,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban (Hardcover),Malala Yousafzai,4.12,490445,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375414895l/17851885._SY75_.jpg,nonfiction
9791.A_Walk_in_the_Wood,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Mass Market Paperback),Bill Bryson,4.05,372506,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388189974l/9791._SY75_.jpg,nonfiction
10335308-is-everyone-hanging-out-without-me,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.85,455008,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443264638l/10335308._SY75_.jpg,nonfiction
43708708-white-fragility,White Fragility: Why It’s So Hard for White People to Talk About Racism (Audiobook),Robin DiAngelo,4.21,137861,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614966481l/43708708._SX50_.jpg,nonfiction
29496076-killers-of-the-flower-moon,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (ebook),David Grann,4.06,163017,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470699853l/29496076._SY75_.jpg,nonfiction
18813642-bad-feminist,Bad Feminist (Paperback),Roxane Gay,3.94,98363,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421292744l/18813642._SY75_.jpg,nonfiction
35099718-so-you-want-to-talk-about-race,So You Want to Talk About Race (Hardcover),Ijeoma Oluo,4.49,91189,2018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499224833l/35099718._SX50_.jpg,nonfiction
40265832-how-to-be-an-antiracist,How to Be an Antiracist (Hardcover),Ibram X. Kendi,4.37,96391,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560163756l/40265832._SY75_.jpg,nonfiction
