Id,Title,Author,Average Rating,Number of ratings,Year of publishing,Url of image,Genre
18003300-love-misadventure,Love & Misadventure (Paperback),Lang Leav,3.96,49530,2013,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370084153l/18003300._SX50_.jpg,poetry
20821284-brown-girl-dreaming,Brown Girl Dreaming (Hardcover),Jacqueline Woodson,4.11,80688,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424308405l/20821284._SY75_.jpg,poetry
13376363-teaching-my-mother-how-to-give-birt,Teaching My Mother How to Give Birth (Paperback),Warsan Shire,4.24,16664,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456003618l/13376363._SX50_.jpg,poetry
13588404-a-thousand-morning,A Thousand Mornings (Hardcover),Mary Oliver,4.2,20029,2012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345433150l/13588404._SY75_.jpg,poetry
53022.The_Collected_Poems_of_W_B_Yeat,The Collected Poems of W.B. Yeats (Paperback),W.B. Yeats,4.21,37545,1950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436919797l/53022._SY75_.jpg,poetry
264158.The_Raven,The Raven (Paperback),Edgar Allan Poe,4.29,113562,1845,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347398489l/264158._SX50_.jpg,poetry
304079.The_Essential_Rumi,The Essential Rumi (Paperback),Rumi,4.36,45356,1273,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391414844l/304079._SX50_.jpg,poetry
150253.If_Not_Winter,"If Not, Winter: Fragments of Sappho (Paperback)",Sappho,4.43,11051,-550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636657260l/150253._SY75_.jpg,poetry
6656.The_Divine_Comedy,The Divine Comedy (Hardcover),Dante Alighieri,4.04,135602,1320,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1624535952l/6656._SY75_.jpg,poetry
61049.Autobiography_of_Red,Autobiography of Red (Paperback),Anne Carson,4.3,19963,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403176248l/61049._SY75_.jpg,poetry
49656780-home-body,Home Body (Paperback),Rupi Kaur,4.08,47340,2020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600123950l/49656780._SY75_.jpg,poetry
18288210-no-matter-the-wreckage,No Matter the Wreckage (Paperback),Sarah Kay,4.23,12531,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394597872l/18288210._SY75_.jpg,poetry
732562.The_Rime_of_the_Ancient_Mariner,The Rime of the Ancient Mariner (Paperback),Samuel Taylor Coleridge,3.94,54750,1798,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436976206l/732562._SX50_.jpg,poetry
402128.Old_Possum_s_Book_of_Practical_Cat,Old Possum's Book of Practical Cats (Hardcover),T.S. Eliot,4.07,24938,1939,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631052179l/402128._SY75_.jpg,poetry
46199.Letters_to_a_Young_Poet,Letters to a Young Poet (Paperback),Rainer Maria Rilke,4.29,61936,1929,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1321994947l/46199._SY75_.jpg,poetry
22552026-long-way-down,Long Way Down (Hardcover),Jason  Reynolds,4.25,85664,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520008013l/22552026._SY75_.jpg,poetry
33375618-don-t-call-us-dead,Don't Call Us Dead (Paperback),Danez Smith,4.51,8169,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485966636l/33375618._SX50_.jpg,poetry
76889.100_Selected_Poem,100 Selected Poems (Paperback),E.E. Cummings,4.29,27599,1954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179993l/76889._SY75_.jpg,poetry
12914.The_Aeneid,The Aeneid (Paperback),Virgil,3.85,113837,-19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923968l/12914._SY75_.jpg,poetry
47730.The_Complete_Poem,The Complete Poems (Paperback),Anne Sexton,4.28,15081,1981,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425271044l/47730._SY75_.jpg,poetry
36297088-the-mermaid-s-voice-returns-in-this-one,"The Mermaid's Voice Returns in This One (Women Are Some Kind of Magic, #3)",Amanda Lovelace,3.7,13164,2019,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538236195l/36297088._SX50_.jpg,poetry
2696.The_Canterbury_Tale,The Canterbury Tales (Paperback),Geoffrey Chaucer,3.52,203407,1400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1261208589l/2696._SY75_.jpg,poetry
33208115-love-her-wild,Love Her Wild (Paperback),Atticus Poetry,3.99,23502,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499862908l/33208115._SY75_.jpg,poetry
32468495-pillow-thought,Pillow Thoughts (Pillow Thoughts #1),Courtney Peppernell,3.83,21523,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475674294l/32468495._SY75_.jpg,poetry
46201.The_Selected_Poetry_of_Rainer_Maria_Rilke,The Selected Poetry of Rainer Maria Rilke (Paperback),Rainer Maria Rilke,4.38,14960,1948,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611774960l/46201._SY75_.jpg,poetry
34594982-depression-other-magic-tric,Depression & Other Magic Tricks (Paperback),Sabrina Benaim,3.76,12705,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492920202l/34594982._SX50_.jpg,poetry
22151696-lullabie,Lullabies (Paperback),Lang Leav,4.0,24380,2014,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404192714l/22151696._SY75_.jpg,poetry
23534.Love_Is_a_Dog_from_Hell,Love Is a Dog from Hell (Paperback),Charles Bukowski,4.07,28681,1977,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510136006l/23534._SY75_.jpg,poetry
138134.The_Complete_Poem,The Complete Poems (Hardcover),John Keats,4.24,22324,1820,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347472201l/138134._SX50_.jpg,poetry
9639765-life-on-mar,Life on Mars (Paperback),Tracy K. Smith,4.12,7361,2011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344317187l/9639765._SX50_.jpg,poetry
34272476-devotion,Devotions: The Selected Poems of Mary Oliver (Hardcover),Mary Oliver,4.59,7849,2017,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494874103l/34272476._SY75_.jpg,poetry
6798263-bluet,Bluets (Paperback),Maggie Nelson,4.2,25665,2009,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354902976l/6798263._SY75_.jpg,poetry
50706476-dearly,Dearly (Hardcover),Margaret Atwood,3.77,7883,2020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580793100l/50706476._SY75_.jpg,poetry
24945396-bright-dead-thing,Bright Dead Things (Paperback),Ada Limon,4.23,5927,2015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424307716l/24945396._SY75_.jpg,poetry
370493.The_Giving_Tree,The Giving Tree (Hardcover),Shel Silverstein,4.37,988645,1964,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX50_.jpg,poetry
